code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,statut_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,commentaire_influence_generale_site,commentaire_site,libelle_departement
S5220001,Le Galardiko Erreka à Ascain,PONCTUEL,325627.0,6260341.0,26,-1.617117499,43.343679383,,,1.0,,S5220850,S5220850,['64065'],S522,['ASCAIN'],['64'],['75'],['NOUVELLE-AQUITAINE'],S5220850,Galardiko Erreka,http://id.eaufrance.fr/CEA/S5220850,,Point de mesure ONDE (Observatoire National Des Etiages),['PYRENEES-ATLANTIQUES']
U0000001,Le ruisseau de Bois le Saint à Belrupt,PONCTUEL,930908.0,6782253.0,26,6.102769664,48.09981539,,,1.0,,U0000500,U0000500,['88052'],U000,['BELRUPT'],['88'],['44'],['GRAND EST'],U0000500,Ruisseau de Bois le Saint,http://id.eaufrance.fr/CEA/U0000500,,Point de mesure ONDE (Observatoire National Des Etiages),['VOSGES']
U0020010,La Saône à Monthureux-sur-Saône,STANDARD,921940.0978448,6775033.5584364,26,5.978724635,48.038004753,245.0,3.0,1.0,1.0,U---0000,U0020000,['88310'],U002,['MONTHUREUX-SUR-SAONE'],['88'],['44'],['GRAND EST'],U---0000,La Saône,http://id.eaufrance.fr/CEA/U---0000,,,['VOSGES']
U0030001,Le ruisseau Haut Fer à Isches,PONCTUEL,910995.0,6771933.0,26,5.830465294,48.013744072,,,1.0,2.0,U0030540,U0030540,['88248'],U003,['ISCHES'],['88'],['44'],['GRAND EST'],U0030540,Ruisseau Haut Fer,http://id.eaufrance.fr/CEA/U0030540,,Point de mesure ONDE (Observatoire National Des Etiages) jusqu'au printemps 2019,['VOSGES']
U0040505,Le ruisseau de Ferrières à Fresnes-sur-Apance,PONCTUEL,910931.0,6764520.0,26,5.826049911,47.947096286,,,1.0,,U0040700,U0040700,['52208'],U004,['FRESNES-SUR-APANCE'],['52'],['44'],['GRAND EST'],U0040700,Ruisseau de Ferrières,http://id.eaufrance.fr/CEA/U0040700,,Point de mesure ONDE (Observatoire National Des Etiages),['HAUTE-MARNE']
U0040506,L'Apance à Larivière-Arnoncourt,PONCTUEL,904878.0,6773283.0,26,5.749104203,48.027829555,,,1.0,,U0040500,U0040500,['52273'],U004,['LARIVIERE-ARNONCOURT'],['52'],['44'],['GRAND EST'],U0040500,L'Apance,http://id.eaufrance.fr/CEA/U0040500,,Point de mesure ONDE (Observatoire National Des Etiages),['HAUTE-MARNE']
U0045004,L'Apance [amont] à Bourbonne-les-Bains,STANDARD,905130.0,6766003.0,26,5.74908334,47.962276617,,,1.0,2.0,U0040500,U0040500,['52060'],U004,['BOURBONNE-LES-BAINS'],['52'],['44'],['GRAND EST'],U0040500,L'Apance,http://id.eaufrance.fr/CEA/U0040500,,,['HAUTE-MARNE']
U0045005,[Source de Flanrupt] à Bourbonne-les-Bains,STANDARD,905159.0,6766033.0,26,5.749485668,47.962537348,,,1.0,0.0,00000000,00000000,['52060'],U004,['BOURBONNE-LES-BAINS'],['52'],['44'],['GRAND EST'],00000000,,http://id.eaufrance.fr/CEA/00000000,,,['HAUTE-MARNE']
U0045006,Le ruisseau de Ferrière à Ainvelle,PONCTUEL,911934.0,6768614.0,26,5.841449489,47.983591847,,,1.0,0.0,U0041240,U0041240,['88004'],U004,['AINVELLE'],['88'],['44'],['GRAND EST'],U0041240,Ruisseau de Ferrière,http://id.eaufrance.fr/CEA/U0041240,,Point de mesure ONDE (Observatoire National Des Etiages),['VOSGES']
U0104010,Le Coney à Xertigny [Forges d'Uzemain],STANDARD,945764.0,6780820.0,26,6.301363343,48.081511419,300.0,3.0,1.0,1.0,U01-0400,U0100400,['88530'],U010,['XERTIGNY'],['88'],['44'],['GRAND EST'],U01-0400,Le Coney,http://id.eaufrance.fr/CEA/U01-0400,,,['VOSGES']
U0104011,Le ruisseau des Colnots à Girancourt,PONCTUEL,948758.0,6785656.0,26,6.344283878,48.123856293,,,1.0,,U0100500,U0100500,['88201'],U010,['GIRANCOURT'],['88'],['44'],['GRAND EST'],U0100500,Ruisseau des Colnots,http://id.eaufrance.fr/CEA/U0100500,,Point de mesure ONDE (Observatoire National Des Etiages),['VOSGES']
U0124010,Le Coney à Fontenoy-le-Château,STANDARD,938402.0,6768405.0,26,6.195832969,47.972608789,252.395,3.0,1.0,1.0,U01-0400,U0120400,['88176'],U012,['FONTENOY-LE-CHATEAU'],['88'],['44'],['GRAND EST'],U01-0400,Le Coney,http://id.eaufrance.fr/CEA/U01-0400,,,['VOSGES']
U0124011,Le ruisseau d'Hautmougey à Hautmougey,PONCTUEL,941121.0,6773349.0,26,6.234954948,48.01606755,,,1.0,,U0120510,U0120510,['88235'],U012,['HAUTMOUGEY'],['88'],['44'],['GRAND EST'],U0120510,Ruisseau d'Hautmougey,http://id.eaufrance.fr/CEA/U0120510,,Point de mesure ONDE (Observatoire National Des Etiages),['VOSGES']
U0140001,[Le ru de Bazeuille] à Villars-le-Pautel,PONCTUEL,918482.0,6759292.0,26,5.924534044,47.897603929,,,1.0,,00000000,00000000,['70554'],U014,['VILLARS-LE-PAUTEL'],['70'],['27'],['BOURGOGNE-FRANCHE-COMTE'],00000000,,http://id.eaufrance.fr/CEA/00000000,,Point de mesure ONDE (Observatoire National Des Etiages),['HAUTE-SAONE']
